"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"4 years"	"4"	"2009"	"2009"	"Female"	"F"	3	1970678	Unreliable
	"4 years"	"4"	"2009"	"2009"	"Male"	"M"	3	2062779	Unreliable
"Total"	"4 years"	"4"	"2009"	"2009"			6	4033457	Unreliable
	"4 years"	"4"	"2010"	"2010"	"Female"	"F"	4	1985620	Unreliable
	"4 years"	"4"	"2010"	"2010"	"Male"	"M"	3	2077550	Unreliable
"Total"	"4 years"	"4"	"2010"	"2010"			7	4063170	Unreliable
	"4 years"	"4"	"2011"	"2011"	"Female"	"F"	1	2015487	Unreliable
	"4 years"	"4"	"2011"	"2011"	"Male"	"M"	1	2106967	Unreliable
"Total"	"4 years"	"4"	"2011"	"2011"			2	4122454	Unreliable
	"4 years"	"4"	"2012"	"2012"	"Female"	"F"	1	2012570	Unreliable
	"4 years"	"4"	"2012"	"2012"	"Male"	"M"	4	2099777	Unreliable
"Total"	"4 years"	"4"	"2012"	"2012"			5	4112347	Unreliable
	"4 years"	"4"	"2013"	"2013"	"Female"	"F"	2	1954885	Unreliable
	"4 years"	"4"	"2013"	"2013"	"Male"	"M"	1	2036805	Unreliable
"Total"	"4 years"	"4"	"2013"	"2013"			3	3991690	Unreliable
	"4 years"	"4"	"2014"	"2014"	"Female"	"F"	2	1959950	Unreliable
	"4 years"	"4"	"2014"	"2014"	"Male"	"M"	3	2043498	Unreliable
"Total"	"4 years"	"4"	"2014"	"2014"			5	4003448	Unreliable
	"4 years"	"4"	"2015"	"2015"	"Female"	"F"	3	1964111	Unreliable
	"4 years"	"4"	"2015"	"2015"	"Male"	"M"	1	2055924	Unreliable
"Total"	"4 years"	"4"	"2015"	"2015"			4	4020035	Unreliable
	"4 years"	"4"	"2016"	"2016"	"Female"	"F"	2	1950127	Unreliable
	"4 years"	"4"	"2016"	"2016"	"Male"	"M"	3	2037529	Unreliable
"Total"	"4 years"	"4"	"2016"	"2016"			5	3987656	Unreliable
	"4 years"	"4"	"2017"	"2017"	"Female"	"F"	0	1953782	Unreliable
	"4 years"	"4"	"2017"	"2017"	"Male"	"M"	4	2042001	Unreliable
"Total"	"4 years"	"4"	"2017"	"2017"			4	3995783	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Female"	"F"	1	1963164	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Male"	"M"	1	2058004	Unreliable
