"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"1 year"	"1"	"2013"	"2013"			3	3955942	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	4	1938870	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	2	2023253	Unreliable
"Total"	"1 year"	"1"	"2014"	"2014"			6	3962123	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	3	1939269	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	1	2029295	Unreliable
"Total"	"1 year"	"1"	"2015"	"2015"			4	3968564	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	5	1953850	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	3	2041158	Unreliable
"Total"	"1 year"	"1"	"2016"	"2016"			8	3995008	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	0	1943534	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	6	2031718	Unreliable
"Total"	"1 year"	"1"	"2017"	"2017"			6	3975252	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	1	1911513	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Male"	"M"	2	2001387	Unreliable
"Total"	"1 year"	"1"	"2018"	"2018"			3	3912900	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Female"	"F"	1	1871014	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Male"	"M"	1	1958585	Unreliable
"Total"	"1 year"	"1"	"2019"	"2019"			2	3829599	Unreliable
"Total"	"1 year"	"1"					128	83023880	0.2
	"2 years"	"2"	"1999"	"1999"	"Female"	"F"	2	1849556	Unreliable
	"2 years"	"2"	"1999"	"1999"	"Male"	"M"	2	1933079	Unreliable
"Total"	"2 years"	"2"	"1999"	"1999"			4	3782635	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Female"	"F"	2	1851456	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Male"	"M"	4	1938990	Unreliable
"Total"	"2 years"	"2"	"2000"	"2000"			6	3790446	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Female"	"F"	3	1857181	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Male"	"M"	1	1942915	Unreliable
"Total"	"2 years"	"2"	"2001"	"2001"			4	3800096	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Female"	"F"	1	1883190	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Male"	"M"	0	1972924	Unreliable
"Total"	"2 years"	"2"	"2002"	"2002"			1	3856114	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Female"	"F"	4	1959311	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Male"	"M"	6	2043525	Unreliable
