"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2 years"	"2"	"2010"	"2010"	"Female"	"F"	32	2004731	1.6
	"2 years"	"2"	"2010"	"2010"	"Male"	"M"	51	2092198	2.4
"Total"	"2 years"	"2"	"2010"	"2010"			83	4096929	2.0
	"2 years"	"2"	"2011"	"2011"	"Female"	"F"	33	1944761	1.7
	"2 years"	"2"	"2011"	"2011"	"Male"	"M"	44	2026999	2.2
"Total"	"2 years"	"2"	"2011"	"2011"			77	3971760	1.9
	"2 years"	"2"	"2012"	"2012"	"Female"	"F"	43	1948274	2.2
	"2 years"	"2"	"2012"	"2012"	"Male"	"M"	44	2031683	2.2
"Total"	"2 years"	"2"	"2012"	"2012"			87	3979957	2.2
	"2 years"	"2"	"2013"	"2013"	"Female"	"F"	41	1948680	2.1
	"2 years"	"2"	"2013"	"2013"	"Male"	"M"	42	2040455	2.1
"Total"	"2 years"	"2"	"2013"	"2013"			83	3989135	2.1
	"2 years"	"2"	"2014"	"2014"	"Female"	"F"	32	1935270	1.7
	"2 years"	"2"	"2014"	"2014"	"Male"	"M"	42	2022502	2.1
"Total"	"2 years"	"2"	"2014"	"2014"			74	3957772	1.9
	"2 years"	"2"	"2015"	"2015"	"Female"	"F"	37	1939979	1.9
	"2 years"	"2"	"2015"	"2015"	"Male"	"M"	49	2026604	2.4
"Total"	"2 years"	"2"	"2015"	"2015"			86	3966583	2.2
	"2 years"	"2"	"2016"	"2016"	"Female"	"F"	39	1949132	2.0
	"2 years"	"2"	"2016"	"2016"	"Male"	"M"	50	2043022	2.4
"Total"	"2 years"	"2"	"2016"	"2016"			89	3992154	2.2
	"2 years"	"2"	"2017"	"2017"	"Female"	"F"	36	1965150	1.8
	"2 years"	"2"	"2017"	"2017"	"Male"	"M"	44	2056625	2.1
"Total"	"2 years"	"2"	"2017"	"2017"			80	4021775	2.0
	"2 years"	"2"	"2018"	"2018"	"Female"	"F"	42	1951366	2.2
	"2 years"	"2"	"2018"	"2018"	"Male"	"M"	39	2040071	1.9
"Total"	"2 years"	"2"	"2018"	"2018"			81	3991437	2.0
	"2 years"	"2"	"2019"	"2019"	"Female"	"F"	34	1916500	1.8
