"","LA","code","pop","cause","deaths","mortrate","country"
"216","Newry, Mourne and Down","N09000010",181368,"DRD",8.33333333333333,4.59470983488451,"Northern Ireland"
"217","Aberdeen City","S12000033",228670,"ASD",38,16.6178335592776,"Scotland"
"218","Aberdeenshire","S12000034",261210,"ASD",29.3333333333333,11.2297895690568,"Scotland"
"219","Angus","S12000041",116200,"ASD",20.3333333333333,17.4985656913368,"Scotland"
"220","Argyll and Bute","S12000035",85870,"ASD",22,25.620123442413,"Scotland"
"221","City of Edinburgh","S12000036",524930,"ASD",86,16.3831367991923,"Scotland"
"222","Clackmannanshire","S12000005",51540,"ASD",9.66666666666667,18.7556590350537,"Scotland"
"223","Dumfries and Galloway","S12000006",148860,"ASD",21,14.1072148327287,"Scotland"
"224","Dundee City","S12000042",149320,"ASD",32.6666666666667,21.8769532994017,"Scotland"
"225","East Ayrshire","S12000008",122010,"ASD",24.3333333333333,19.9437204600716,"Scotland"
"226","East Dunbartonshire","S12000045",108640,"ASD",16.3333333333333,15.0343642611684,"Scotland"
"227","East Lothian","S12000010",107090,"ASD",16.3333333333333,15.2519687490273,"Scotland"
"228","East Renfrewshire","S12000011",95530,"ASD",10.6666666666667,11.1657768938204,"Scotland"
"229","Falkirk","S12000014",160890,"ASD",26.3333333333333,16.3672902811445,"Scotland"
"230","Fife","S12000047",373550,"ASD",73.3333333333333,19.6314638825682,"Scotland"
"231","Glasgow City","S12000049",633120,"ASD",158.333333333333,25.0084238901525,"Scotland"
"232","Highland","S12000017",235830,"ASD",54.3333333333333,23.0391949002813,"Scotland"
"233","Inverclyde","S12000018",77800,"ASD",25.6666666666667,32.9905741216795,"Scotland"
"234","Midlothian","S12000019",92460,"ASD",18,19.4678780012979,"Scotland"
"235","Moray","S12000020",95820,"ASD",16.3333333333333,17.0458498573715,"Scotland"
"236","Na h-Eileanan Siar","S12000013",26720,"ASD",8.66666666666667,32.435129740519,"Scotland"
"237","North Ayrshire","S12000021",134740,"ASD",39,28.944634110138,"Scotland"
"238","North Lanarkshire","S12000050",341370,"ASD",98.3333333333333,28.8054994092431,"Scotland"
"239","Orkney Islands","S12000023",22270,"ASD",3.66666666666667,16.4646011076186,"Scotland"
"240","Perth and Kinross","S12000048",151950,"ASD",23.3333333333333,15.3559284852473,"Scotland"
"241","Renfrewshire","S12000038",179100,"ASD",43.3333333333333,24.1950493206775,"Scotland"
"242","Scottish Borders","S12000026",115510,"ASD",15,12.9858886676478,"Scotland"
"243","Shetland Islands","S12000027",22920,"ASD",3,13.0890052356021,"Scotland"
"244","South Ayrshire","S12000028",112610,"ASD",22.3333333333333,19.8324601130746,"Scotland"
"245","South Lanarkshire","S12000029",320530,"ASD",62.6666666666667,19.5509520689691,"Scotland"
"246","Stirling","S12000030",94210,"ASD",14,14.8604182146269,"Scotland"
"247","West Dunbartonshire","S12000039",88930,"ASD",26,29.2364781288654,"Scotland"
"248","West Lothian","S12000040",183100,"ASD",33.6666666666667,18.3870380484253,"Scotland"
"249","Hartlepool","E06000001",93663,"ASD",14.6873334563096,15.6810410261358,"England"
"250","Middlesbrough","E06000002",140980,"ASD",24.4995200752213,17.3780111187554,"England"
"251","Redcar and Cleveland","E06000003",137150,"ASD",21.1540518963045,15.4240261730255,"England"
"252","Stockton-on-Tees","E06000004",197348,"ASD",31.4427055587772,15.9326193114585,"England"
"253","Darlington","E06000005",106803,"ASD",14.9600667937104,14.0071597180888,"England"
"254","Halton","E06000006",129410,"ASD",23.813370035169,18.4014914111498,"England"
"255","Warrington","E06000007",210014,"ASD",27.8429623593352,13.2576696598013,"England"
"256","Blackburn with Darwen","E06000008",149696,"ASD",21.8198045957944,14.5760772470837,"England"
"257","Blackpool","E06000009",139446,"ASD",41.633815130897,29.8565861558575,"England"
"258","Kingston upon Hull","E06000010",259778,"ASD",38.3821050233481,14.7749636317733,"England"
"259","East Riding of Yorkshire","E06000011",341173,"ASD",24.6446510378666,7.22350568124284,"England"
"260","North East Lincolnshire","E06000012",159563,"ASD",25.095960510738,15.7279322341257,"England"
