"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"4 years"	"4"	"2017"	"2017"	"Male"	"M"	0	2042001	Unreliable
"Total"	"4 years"	"4"	"2017"	"2017"			0	3995783	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Female"	"F"	0	1963164	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Male"	"M"	0	2058004	Unreliable
"Total"	"4 years"	"4"	"2018"	"2018"			0	4021168	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Female"	"F"	0	1976372	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Male"	"M"	0	2066951	Unreliable
"Total"	"4 years"	"4"	"2019"	"2019"			0	4043323	Unreliable
"Total"	"4 years"	"4"					4	83641980	Unreliable
	"5 years"	"5"	"1999"	"1999"	"Female"	"F"	0	1950892	Unreliable
	"5 years"	"5"	"1999"	"1999"	"Male"	"M"	0	2048870	Unreliable
"Total"	"5 years"	"5"	"1999"	"1999"			0	3999762	Unreliable
	"5 years"	"5"	"2000"	"2000"	"Female"	"F"	0	1934031	Unreliable
	"5 years"	"5"	"2000"	"2000"	"Male"	"M"	0	2031072	Unreliable
"Total"	"5 years"	"5"	"2000"	"2000"			0	3965103	Unreliable
	"5 years"	"5"	"2001"	"2001"	"Female"	"F"	0	1909212	Unreliable
	"5 years"	"5"	"2001"	"2001"	"Male"	"M"	0	2000821	Unreliable
"Total"	"5 years"	"5"	"2001"	"2001"			0	3910033	Unreliable
	"5 years"	"5"	"2002"	"2002"	"Female"	"F"	0	1876401	Unreliable
	"5 years"	"5"	"2002"	"2002"	"Male"	"M"	0	1960786	Unreliable
"Total"	"5 years"	"5"	"2002"	"2002"			0	3837187	Unreliable
	"5 years"	"5"	"2003"	"2003"	"Female"	"F"	0	1867683	Unreliable
	"5 years"	"5"	"2003"	"2003"	"Male"	"M"	0	1955885	Unreliable
"Total"	"5 years"	"5"	"2003"	"2003"			0	3823568	Unreliable
	"5 years"	"5"	"2004"	"2004"	"Female"	"F"	0	1871767	Unreliable
	"5 years"	"5"	"2004"	"2004"	"Male"	"M"	0	1957840	Unreliable
"Total"	"5 years"	"5"	"2004"	"2004"			0	3829607	Unreliable
